(59)-18-64021,(25)-18-21782,01/01/1978,00:05:45,23
(29)-12-23343,(41)-01-77371,01/01/1978,00:10:39,140
(67)-07-27881,(75)-04-36344,01/01/1978,00:13:10,235
(38)-27-55572,(39)-08-18796,01/01/1978,00:16:57,256
(53)-07-75157,(42)-08-95115,01/01/1978,00:24:36,318
(76)-06-65213,(51)-07-79368,01/01/1978,00:56:36,95
(31)-20-06959,(37)-07-98596,01/01/1978,01:54:26,175
(44)-24-62027,(28)-19-61650,01/01/1978,02:14:54,845
(29)-13-76998,(34)-11-73365,01/01/1978,02:34:50,147
(46)-21-48792,(28)-19-10615,01/01/1978,02:45:48,270
(39)-12-27774,(25)-02-78045,01/01/1978,03:13:48,483
(22)-06-37284,(44)-01-45455,01/01/1978,03:15:06,1440
(22)-02-25612,(64)-00-35008,01/01/1978,03:44:29,277
(27)-16-84771,(24)-12-24405,01/01/1978,04:04:24,191
(32)-02-23396,(35)-00-30758,01/01/1978,04:36:52,2770
(27)-24-77749,(27)-23-52059,01/01/1978,04:50:41,3420
(24)-28-72709,(62)-16-38452,01/01/1978,05:10:51,257
(79)-11-10019,(36)-10-74612,01/01/1978,05:23:15,895
(64)-09-04556,(69)-13-86365,01/01/1978,05:36:49,3325
(27)-04-64264,(36)-24-74052,01/01/1978,05:59:55,373
(36)-15-46093,(28)-16-82659,01/01/1978,06:09:19,331
(71)-15-28927,(22)-13-98521,01/01/1978,06:17:30,645
(35)-07-55951,(75)-13-63931,01/01/1978,06:27:12,2379
(68)-00-98062,(50)-13-63550,01/01/1978,06:37:29,85
(31)-06-19268,(76)-12-46121,01/01/1978,06:48:02,152
(52)-01-99769,(73)-00-82046,01/01/1978,06:55:27,512
(40)-01-36365,(55)-11-07909,01/01/1978,06:56:23,1577
(71)-10-19302,(25)-25-50262,01/01/1978,07:14:04,243
(42)-17-89407,(62)-04-71211,01/01/1978,07:34:01,64
(65)-05-84073,(48)-08-41616,01/01/1978,07:49:32,99
(64)-12-52879,(43)-17-93130,01/01/1978,08:12:59,241
(65)-08-53960,(43)-14-33831,01/01/1978,08:53:30,190
(77)-06-32284,(51)-22-78918,01/01/1978,09:04:38,3181
(53)-07-37914,(33)-11-52910,01/01/1978,09:53:59,276
(32)-18-91930,(23)-14-74459,01/01/1978,10:08:21,333
(69)-09-12618,(46)-04-47780,01/01/1978,10:33:39,380
(34)-21-58514,(33)-12-77243,01/01/1978,10:34:29,695
(57)-18-34984,(46)-06-89188,01/01/1978,11:00:18,15
(74)-01-55955,(66)-03-24498,01/01/1978,11:24:53,124
(67)-04-58635,(73)-10-22390,01/01/1978,11:31:41,798
(65)-15-20021,(30)-24-57617,01/01/1978,12:07:10,3057
(71)-13-55459,(56)-21-14607,01/01/1978,12:09:32,7
(60)-16-17923,(79)-12-82264,01/01/1978,12:20:57,415
(36)-19-30871,(24)-21-34004,01/01/1978,12:22:55,861
(53)-09-33136,(50)-10-34333,01/01/1978,12:23:50,173
(50)-23-67816,(31)-23-92176,01/01/1978,13:03:54,560
(61)-14-56565,(64)-04-80286,01/01/1978,13:11:31,510
(70)-16-97252,(50)-17-14716,01/01/1978,13:16:26,128
(62)-19-65781,(38)-16-05192,01/01/1978,13:45:49,441
(38)-00-29551,(39)-17-77086,01/01/1978,14:05:48,1793
(39)-02-07675,(61)-13-84809,01/01/1978,14:16:04,49
(68)-08-52894,(48)-16-57921,01/01/1978,15:19:58,5994
(70)-07-11551,(53)-00-16850,01/01/1978,15:48:31,179
(55)-16-54925,(41)-05-65237,01/01/1978,16:05:50,13
(48)-10-28157,(44)-08-79061,01/01/1978,16:23:29,707
(57)-09-82314,(79)-09-01573,01/01/1978,16:35:20,745
(59)-10-51325,(76)-08-95376,01/01/1978,16:43:22,551
(23)-08-68009,(65)-14-01125,01/01/1978,16:51:00,267
(30)-14-58669,(57)-01-72879,01/01/1978,17:10:23,166
(20)-27-31367,(36)-11-66982,01/01/1978,17:18:40,221
(30)-02-04514,(71)-05-31689,01/01/1978,17:42:23,109
(78)-04-10057,(58)-07-36985,01/01/1978,17:46:52,55
(60)-08-74360,(78)-05-34116,01/01/1978,17:49:55,196
(60)-03-84645,(67)-09-69492,01/01/1978,17:56:28,62
