(43)-22-69973,(57)-15-96788,01/01/1978,09:36:50,187
(54)-08-64555,(45)-10-19272,01/01/1978,11:47:44,3399
(61)-19-61239,(45)-14-52489,01/02/1978,00:11:16,783
(41)-21-63669,(21)-26-74906,01/02/1978,03:00:36,3100
(22)-32-00015,(76)-11-34524,01/02/1978,05:23:44,534
(42)-24-05902,(64)-04-59287,01/02/1978,05:52:26,643
(49)-19-64537,(54)-14-01703,01/02/1978,15:44:07,200
(36)-04-23001,(58)-14-20009,01/02/1978,20:39:07,213
(55)-05-68559,(74)-05-98520,01/03/1978,03:41:22,698
(68)-06-66492,(35)-22-70536,01/03/1978,07:42:40,4924
(28)-21-77745,(29)-27-27375,01/03/1978,09:03:30,408
(58)-06-23435,(58)-03-95207,01/03/1978,12:10:12,136
(72)-15-69074,(45)-02-38593,01/03/1978,13:05:09,405
(28)-14-00071,(30)-22-80332,01/03/1978,13:34:31,69
(26)-11-96791,(79)-02-02272,01/03/1978,15:33:34,516
(29)-18-03703,(44)-25-00627,01/03/1978,21:13:59,25
(44)-11-33184,(55)-12-18545,01/04/1978,05:27:36,198
(63)-09-46047,(58)-01-63009,01/04/1978,06:44:53,1739
(71)-09-36596,(77)-12-04897,01/04/1978,08:13:02,273
(35)-05-09616,(33)-00-40114,01/04/1978,09:46:59,18
(50)-20-98564,(33)-17-06549,01/04/1978,10:01:33,1065
(52)-10-76706,(51)-05-68387,01/04/1978,11:56:22,158
(76)-10-36285,(55)-18-13227,01/04/1978,20:02:35,353
(66)-15-44031,(48)-21-91710,01/05/1978,02:22:59,504
(53)-04-07793,(75)-09-05380,01/05/1978,05:15:24,737
(64)-16-18413,(47)-00-91543,01/05/1978,12:28:19,266
(26)-04-31681,(28)-15-79482,01/05/1978,16:58:42,587
(33)-18-31843,(69)-10-08100,01/05/1978,22:12:22,402
(54)-06-86762,(71)-13-84848,01/06/1978,04:43:58,2093
(36)-19-20706,(53)-05-01604,01/06/1978,07:45:27,77
(64)-16-82656,(62)-03-89548,01/06/1978,08:55:42,865
(54)-01-27367,(47)-03-93354,01/06/1978,15:01:12,2054
(23)-18-41278,(68)-06-60947,01/06/1978,20:31:31,306
(62)-10-55765,(71)-04-02754,01/07/1978,04:44:41,50
(47)-15-56630,(27)-27-16098,01/07/1978,06:08:33,1314
(40)-02-11164,(61)-09-64473,01/07/1978,08:44:08,269
(56)-15-39088,(40)-07-20274,01/07/1978,16:20:51,197
(34)-25-22251,(36)-17-24967,01/08/1978,03:21:07,11
(22)-24-35453,(31)-28-27296,01/08/1978,12:06:01,756
(39)-26-79658,(28)-07-31901,01/09/1978,01:49:31,796
(28)-04-83085,(65)-15-79213,01/09/1978,10:16:32,865
(48)-20-32731,(47)-06-72188,01/09/1978,15:42:53,136
(74)-02-94935,(74)-11-93166,01/10/1978,01:36:41,235
(77)-04-28868,(72)-01-23786,01/10/1978,02:10:23,1877
(54)-06-81837,(35)-00-09870,01/10/1978,05:57:09,86
(43)-14-40696,(57)-04-15197,01/10/1978,15:19:50,92
(45)-23-85537,(27)-26-37277,01/10/1978,15:30:58,1541
(60)-15-65201,(56)-03-23182,01/11/1978,00:14:08,673
(36)-07-22745,(24)-03-08537,01/11/1978,09:58:11,139
(51)-13-07874,(34)-19-45567,01/11/1978,13:47:10,746
(65)-05-33504,(22)-22-32804,01/11/1978,15:34:17,558
(57)-19-85014,(70)-04-84444,01/11/1978,15:40:07,2778
(29)-06-45853,(71)-01-87196,01/11/1978,20:48:19,640
(45)-14-66898,(60)-03-22160,01/11/1978,21:08:30,124
(21)-28-51207,(37)-19-54392,01/11/1978,22:25:41,863
(57)-12-98925,(54)-10-88075,01/11/1978,23:44:02,251
(42)-08-30829,(55)-04-06892,01/12/1978,01:07:12,2543
(41)-01-24732,(37)-21-31774,01/12/1978,02:10:35,95
(41)-24-13780,(77)-08-53975,01/12/1978,02:22:18,206
(75)-03-79454,(59)-06-31346,01/12/1978,03:24:59,254
(76)-03-65437,(62)-05-42030,01/12/1978,08:19:48,513
(37)-13-65555,(55)-02-92569,01/12/1978,09:36:17,275
(69)-05-18620,(50)-02-29885,01/12/1978,13:05:14,286
(26)-25-13044,(57)-05-82256,01/13/1978,03:55:55,862
(33)-03-69550,(66)-15-31251,01/13/1978,04:17:45,498
(74)-02-62554,(30)-22-76096,01/13/1978,08:10:10,1800
